id,name,description,inventory_count,price,category_id
1,Smartphone,Latest model with 5G,100,799.99,1
2,Laptop,Powerful gaming laptop,50,1199.99,1
3,Tablet,Portable touchscreen tablet,80,499.99,1
4,Smartwatch,Fitness tracker and smartwatch,120,249.99,1
5,Headphones,Noise-cancelling headphones,75,199.99,1
6,T-Shirt,Cotton t-shirt,200,19.99,2
7,Jeans,Denim jeans,150,49.99,2
8,Sweatshirt,Cozy cotton sweatshirt,100,39.99,2
9,Jacket,Lightweight windbreaker jacket,60,79.99,2
10,Socks,Pack of comfortable socks,300,9.99,2
11,Novel,Bestselling novel,300,9.99,3
12,Dictionary,Comprehensive language dictionary,80,14.99,3
13,Comics,Popular superhero comics,120,4.99,3
14,Cookbook,Gourmet recipe cookbook,50,24.99,3
15,Makeup Kit,Full-face makeup set,85,29.99,4
16,Lotion,Hydrating body lotion,150,19.99,4
17,Shampoo,Daily use shampoo,100,9.99,4
18,Face Cream,Anti-aging face cream,70,29.99,4
19,Perfume,Signature fragrance perfume,80,49.99,4
20,Football,Official match ball,60,29.99,5
